Microsoft,Iterative,Recursive,Linear
12.61,28.84,45.78,1268.23
12.58,25.96,44.34,1270.86
12.16,25.23,44.21,1227.76
13.15,25.26,43.09,1288.02
13.99,25.99,44.82,1264.87
12.99,25.07,43.28,1367.94
12.64,26.19,44.69,1362.62
12.64,25.9,45.36,1288.6
12.32,25.39,43.57,1254.02
12.39,26.22,43.38,1271.63
12.16,25.35,43.54,1285.78
12.96,25.26,43.38,1224.56
12.19,25.32,43.51,1254.18
12.16,25.13,43.32,1275.56
12.42,26.12,44.6,1267.85
13.25,25.23,43.6,1228.37
12.74,26.12,44.85,1331.79
12.58,25.9,44.53,1337.9
12.71,26.03,44.85,1306.33
12.29,25.23,43.28,1289.72
